date,year,quarter,market,group,tariff,tou,regulated,incumbent,consumer,retailer_type,power,price,smartmeter
2019 Q3,2019,3,EDP,EDP,2.0A,0,false,1,259989,commercial,4.4,0.1306127523888889,0.990666667
2019 Q3,2019,3,EDP,EDP,2.0DHA,1,false,1,98219,commercial,5.5,0.1065179973,0.990666667
2019 Q3,2019,3,EDP,EDP,2.1A,0,false,1,10044,commercial,12.0,0.15127974631666666,0.990666667
2019 Q3,2019,3,EDP,EDP,2.1DHA,1,false,1,1769,commercial,12.5,0.12767251565555557,0.990666667
2019 Q3,2019,3,EDP,EDP,2.0A,0,true,1,170062,regulated,4.4,0.10723266666666666,0.990666667
2019 Q3,2019,3,EDP,EDP,2.0DHA,1,true,1,18522,regulated,5.5,0.08048871,0.990666667
2019 Q3,2019,3,EDP,EDP,2.1A,0,true,1,277,,,,0.990666667
2019 Q3,2019,3,EDP,EDP,2.1DHA,1,true,1,48,,,,0.990666667
2019 Q4,2019,4,EDP,EDP,2.0A,0,false,1,242397,commercial,4.4,0.1314294057222222,0.992333333
2019 Q4,2019,4,EDP,EDP,2.0DHA,1,false,1,114037,commercial,5.5,0.11318875253333333,0.992333333
2019 Q4,2019,4,EDP,EDP,2.1A,0,false,1,9783,commercial,12.0,0.14481398125,0.992333333
2019 Q4,2019,4,EDP,EDP,2.1DHA,1,false,1,1773,commercial,12.5,0.13105293801666668,0.992333333
2019 Q4,2019,4,EDP,EDP,2.0A,0,true,1,169192,regulated,4.4,0.10447433333333334,0.992333333
2019 Q4,2019,4,EDP,EDP,2.0DHA,1,true,1,19209,regulated,5.5,0.07677016333333332,0.992333333
2019 Q4,2019,4,EDP,EDP,2.1A,0,true,1,265,,,,0.992333333
2019 Q4,2019,4,EDP,EDP,2.1DHA,1,true,1,47,,,,0.992333333
2011 Q1,2011,1,EDP,ENDESA,2.0A,0,false,0,5119,,,,
2011 Q1,2011,1,EDP,ENDESA,2.0DHA,1,false,0,74,,,,
2011 Q1,2011,1,EDP,ENDESA,2.1A,0,false,0,358,,,,
2011 Q1,2011,1,EDP,ENDESA,2.1DHA,1,false,0,147,,,,
2011 Q2,2011,2,EDP,ENDESA,2.0A,0,false,0,5275,,,,
2011 Q2,2011,2,EDP,ENDESA,2.0DHA,1,false,0,77,,,,
2011 Q2,2011,2,EDP,ENDESA,2.1A,0,false,0,358,,,,
