"date","group","prop","category","year","quarter","plot"
"2013 Q1",NA,0.0474115726636458,"Trad - com - non - inc","2013","1","by-type"
"2013 Q2",NA,0.0463542613207948,"Trad - com - non - inc","2013","2","by-type"
"2013 Q3",NA,0.0471843465179208,"Trad - com - non - inc","2013","3","by-type"
"2013 Q4",NA,0.0479580325204649,"Trad - com - non - inc","2013","4","by-type"
"2014 Q1",NA,0.051065557738108,"Trad - com - non - inc","2014","1","by-type"
"2014 Q2",NA,0.0574112011923412,"Trad - com - non - inc","2014","2","by-type"
"2014 Q3",NA,0.0620548763450126,"Trad - com - non - inc","2014","3","by-type"
"2014 Q4",NA,0.0669039535080857,"Trad - com - non - inc","2014","4","by-type"
"2015 Q1",NA,0.0728332774849013,"Trad - com - non - inc","2015","1","by-type"
"2015 Q2",NA,0.079651358305728,"Trad - com - non - inc","2015","2","by-type"
"2015 Q3",NA,0.082836947676988,"Trad - com - non - inc","2015","3","by-type"
"2015 Q4",NA,0.0889929742388759,"Trad - com - non - inc","2015","4","by-type"
"2016 Q1",NA,0.0944325748457651,"Trad - com - non - inc","2016","1","by-type"
"2016 Q2",NA,0.097682177523797,"Trad - com - non - inc","2016","2","by-type"
"2016 Q3",NA,0.10322413199811,"Trad - com - non - inc","2016","3","by-type"
"2016 Q4",NA,0.112417347225643,"Trad - com - non - inc","2016","4","by-type"
"2017 Q1",NA,0.125631200805366,"Trad - com - non - inc","2017","1","by-type"
"2017 Q2",NA,0.136084367423637,"Trad - com - non - inc","2017","2","by-type"
"2017 Q3",NA,0.150855343008196,"Trad - com - non - inc","2017","3","by-type"
"2017 Q4",NA,0.169939073125796,"Trad - com - non - inc","2017","4","by-type"
"2018 Q1",NA,0.195474522488078,"Trad - com - non - inc","2018","1","by-type"
"2018 Q2",NA,0.228257875748969,"Trad - com - non - inc","2018","2","by-type"
"2018 Q3",NA,0.249523138575168,"Trad - com - non - inc","2018","3","by-type"
"2018 Q4",NA,0.29259579709432,"Trad - com - non - inc","2018","4","by-type"
"2019 Q1",NA,0.359714901011115,"Trad - com - non - inc","2019","1","by-type"
"2019 Q2",NA,0.428251848167088,"Trad - com - non - inc","2019","2","by-type"
"2019 Q3",NA,0.463564553912667,"Trad - com - non - inc","2019","3","by-type"
"2019 Q4",NA,0.527213249394188,"Trad - com - non - inc","2019","4","by-type"
"2011 Q1","EDP",0.0416274611069056,"Incumbent","2011","1","by-group"
"2011 Q1","ENDESA",0.0218765289240774,"Incumbent","2011","1","by-group"
"2011 Q1","IBERDROLA",0.06403782384724,"Incumbent","2011","1","by-group"
"2011 Q1","NATURGY",0.116688461184271,"Incumbent","2011","1","by-group"
"2011 Q1","REPSOL",0.0366951184919673,"Incumbent","2011","1","by-group"
"2011 Q2","EDP",0.0429649199259179,"Incumbent","2011","2","by-group"
"2011 Q2","ENDESA",0.0225547795599155,"Incumbent","2011","2","by-group"
"2011 Q2","IBERDROLA",0.0620880880232448,"Incumbent","2011","2","by-group"
"2011 Q2","NATURGY",0.110982439159292,"Incumbent","2011","2","by-group"
"2011 Q2","REPSOL",0.0341301957583795,"Incumbent","2011","2","by-group"
"2011 Q3","EDP",0.0431246478639844,"Incumbent","2011","3","by-group"
"2011 Q3","ENDESA",0.0226217889752502,"Incumbent","2011","3","by-group"
"2011 Q3","IBERDROLA",0.0609961953606417,"Incumbent","2011","3","by-group"
"2011 Q3","NATURGY",0.105339503597538,"Incumbent","2011","3","by-group"
"2011 Q3","REPSOL",0.0324767187420488,"Incumbent","2011","3","by-group"
"2011 Q4","EDP",0.0432694345627244,"Incumbent","2011","4","by-group"
"2011 Q4","ENDESA",0.0230763507581507,"Incumbent","2011","4","by-group"
"2011 Q4","IBERDROLA",0.060234987983769,"Incumbent","2011","4","by-group"
"2011 Q4","NATURGY",0.0990320529427004,"Incumbent","2011","4","by-group"
"2011 Q4","REPSOL",0.0317511984375925,"Incumbent","2011","4","by-group"
"2012 Q1","EDP",0.0435654815374409,"Incumbent","2012","1","by-group"
"2012 Q1","ENDESA",0.0238075433369831,"Incumbent","2012","1","by-group"
"2012 Q1","IBERDROLA",0.0593264882278526,"Incumbent","2012","1","by-group"
"2012 Q1","NATURGY",0.0938324626347446,"Incumbent","2012","1","by-group"
"2012 Q1","REPSOL",0.0321844990297381,"Incumbent","2012","1","by-group"
"2012 Q2","EDP",0.0433960568199781,"Incumbent","2012","2","by-group"
"2012 Q2","ENDESA",0.0247452284761803,"Incumbent","2012","2","by-group"
"2012 Q2","IBERDROLA",0.0581012778585798,"Incumbent","2012","2","by-group"
"2012 Q2","NATURGY",0.0902388862521753,"Incumbent","2012","2","by-group"
"2012 Q2","REPSOL",0.0364405681965373,"Incumbent","2012","2","by-group"
"2012 Q3","EDP",0.0439524524282187,"Incumbent","2012","3","by-group"
"2012 Q3","ENDESA",0.0252801707154204,"Incumbent","2012","3","by-group"
"2012 Q3","IBERDROLA",0.0570490687654627,"Incumbent","2012","3","by-group"
"2012 Q3","NATURGY",0.0883656547785473,"Incumbent","2012","3","by-group"
"2012 Q3","REPSOL",0.0379659343372007,"Incumbent","2012","3","by-group"
"2012 Q4","EDP",0.0488051249919483,"Incumbent","2012","4","by-group"
"2012 Q4","ENDESA",0.0266538455237614,"Incumbent","2012","4","by-group"
"2012 Q4","IBERDROLA",0.0564988631979184,"Incumbent","2012","4","by-group"
"2012 Q4","NATURGY",0.0865212062618843,"Incumbent","2012","4","by-group"
"2012 Q4","REPSOL",0.0410700470961875,"Incumbent","2012","4","by-group"
"2013 Q1","EDP",0.0504236655682745,"Incumbent","2013","1","by-group"
"2013 Q1","ENDESA",0.0288591562819825,"Incumbent","2013","1","by-group"
"2013 Q1","IBERDROLA",0.0561652996473284,"Incumbent","2013","1","by-group"
"2013 Q1","NATURGY",0.0863175533471503,"Incumbent","2013","1","by-group"
"2013 Q1","REPSOL",0.045234502087294,"Incumbent","2013","1","by-group"
"2013 Q2","EDP",0.0498857998398084,"Incumbent","2013","2","by-group"
"2013 Q2","ENDESA",0.0324150512232924,"Incumbent","2013","2","by-group"
"2013 Q2","IBERDROLA",0.0559196816934616,"Incumbent","2013","2","by-group"
"2013 Q2","NATURGY",0.0866048168781536,"Incumbent","2013","2","by-group"
"2013 Q2","REPSOL",0.0664522428349894,"Incumbent","2013","2","by-group"
"2013 Q3","EDP",0.0494531863118729,"Incumbent","2013","3","by-group"
"2013 Q3","ENDESA",0.0335635472980497,"Incumbent","2013","3","by-group"
"2013 Q3","IBERDROLA",0.0556895290067571,"Incumbent","2013","3","by-group"
"2013 Q3","NATURGY",0.0879680438563676,"Incumbent","2013","3","by-group"
"2013 Q3","REPSOL",0.0547491482058492,"Incumbent","2013","3","by-group"
"2013 Q4","EDP",0.04864524435985,"Incumbent","2013","4","by-group"
"2013 Q4","ENDESA",0.0347822661441182,"Incumbent","2013","4","by-group"
"2013 Q4","IBERDROLA",0.0564230368142381,"Incumbent","2013","4","by-group"
"2013 Q4","NATURGY",0.0888177672073317,"Incumbent","2013","4","by-group"
"2013 Q4","REPSOL",0.0572455103858958,"Incumbent","2013","4","by-group"
"2014 Q1","EDP",0.0483232381689032,"Incumbent","2014","1","by-group"
"2014 Q1","ENDESA",0.0373211583016174,"Incumbent","2014","1","by-group"
"2014 Q1","IBERDROLA",0.0586397817854725,"Incumbent","2014","1","by-group"
"2014 Q1","NATURGY",0.0912603878771444,"Incumbent","2014","1","by-group"
"2014 Q1","REPSOL",0.0747617139664678,"Incumbent","2014","1","by-group"
"2014 Q2","EDP",0.0480197607615664,"Incumbent","2014","2","by-group"
"2014 Q2","ENDESA",0.0394733799009267,"Incumbent","2014","2","by-group"
"2014 Q2","IBERDROLA",0.0601564269839523,"Incumbent","2014","2","by-group"
"2014 Q2","NATURGY",0.0927006239145037,"Incumbent","2014","2","by-group"
"2014 Q2","REPSOL",0.0997708354396253,"Incumbent","2014","2","by-group"
"2014 Q3","EDP",0.0474913051310119,"Incumbent","2014","3","by-group"
"2014 Q3","ENDESA",0.0408526973407669,"Incumbent","2014","3","by-group"
"2014 Q3","IBERDROLA",0.0608581330035566,"Incumbent","2014","3","by-group"
"2014 Q3","NATURGY",0.0927426600458432,"Incumbent","2014","3","by-group"
"2014 Q3","REPSOL",0.113914424388826,"Incumbent","2014","3","by-group"
"2014 Q4","EDP",0.0469766620494793,"Incumbent","2014","4","by-group"
"2014 Q4","ENDESA",0.042517087691294,"Incumbent","2014","4","by-group"
"2014 Q4","IBERDROLA",0.0624517551396127,"Incumbent","2014","4","by-group"
"2014 Q4","NATURGY",0.0940817484300751,"Incumbent","2014","4","by-group"
"2014 Q4","REPSOL",0.141866687176895,"Incumbent","2014","4","by-group"
"2015 Q1","EDP",0.0471634647197653,"Incumbent","2015","1","by-group"
"2015 Q1","ENDESA",0.0440820877146456,"Incumbent","2015","1","by-group"
"2015 Q1","IBERDROLA",0.0644077906742247,"Incumbent","2015","1","by-group"
"2015 Q1","NATURGY",0.0957835723314301,"Incumbent","2015","1","by-group"
"2015 Q1","REPSOL",0.172606618491106,"Incumbent","2015","1","by-group"
"2015 Q2","EDP",0.0475608584020979,"Incumbent","2015","2","by-group"
"2015 Q2","ENDESA",0.0451739020465712,"Incumbent","2015","2","by-group"
"2015 Q2","IBERDROLA",0.0658024168056791,"Incumbent","2015","2","by-group"
"2015 Q2","NATURGY",0.0973927016721219,"Incumbent","2015","2","by-group"
"2015 Q2","REPSOL",0.208096312871842,"Incumbent","2015","2","by-group"
"2015 Q3","EDP",0.0483420736370589,"Incumbent","2015","3","by-group"
"2015 Q3","ENDESA",0.0580739079292483,"Incumbent","2015","3","by-group"
"2015 Q3","IBERDROLA",0.0667512224932803,"Incumbent","2015","3","by-group"
"2015 Q3","NATURGY",0.0976898692275938,"Incumbent","2015","3","by-group"
"2015 Q3","REPSOL",0.243531619678215,"Incumbent","2015","3","by-group"
"2015 Q4","EDP",0.0504085130772849,"Incumbent","2015","4","by-group"
"2015 Q4","ENDESA",0.0768784211543004,"Incumbent","2015","4","by-group"
"2015 Q4","IBERDROLA",0.0716547724152663,"Incumbent","2015","4","by-group"
"2015 Q4","NATURGY",0.0986662282414353,"Incumbent","2015","4","by-group"
"2015 Q4","REPSOL",0.265632621713906,"Incumbent","2015","4","by-group"
"2016 Q1","EDP",0.0509036193224336,"Incumbent","2016","1","by-group"
"2016 Q1","ENDESA",0.091123650746984,"Incumbent","2016","1","by-group"
"2016 Q1","IBERDROLA",0.0783541165734053,"Incumbent","2016","1","by-group"
"2016 Q1","NATURGY",0.0993871285584396,"Incumbent","2016","1","by-group"
"2016 Q1","REPSOL",0.290450778953406,"Incumbent","2016","1","by-group"
"2016 Q2","EDP",0.052460990819795,"Incumbent","2016","2","by-group"
"2016 Q2","ENDESA",0.101268721228418,"Incumbent","2016","2","by-group"
"2016 Q2","IBERDROLA",0.082415020972447,"Incumbent","2016","2","by-group"
"2016 Q2","NATURGY",0.100046930542797,"Incumbent","2016","2","by-group"
"2016 Q2","REPSOL",0.31166742172428,"Incumbent","2016","2","by-group"
"2016 Q3","EDP",0.0530085577702847,"Incumbent","2016","3","by-group"
"2016 Q3","ENDESA",0.107886186768591,"Incumbent","2016","3","by-group"
"2016 Q3","IBERDROLA",0.0843763823720018,"Incumbent","2016","3","by-group"
"2016 Q3","NATURGY",0.101109602705759,"Incumbent","2016","3","by-group"
"2016 Q3","REPSOL",0.333511580158102,"Incumbent","2016","3","by-group"
"2016 Q4","EDP",0.0552715000173006,"Incumbent","2016","4","by-group"
"2016 Q4","ENDESA",0.114619978842854,"Incumbent","2016","4","by-group"
"2016 Q4","IBERDROLA",0.0944272056943935,"Incumbent","2016","4","by-group"
"2016 Q4","NATURGY",0.102443933470361,"Incumbent","2016","4","by-group"
"2016 Q4","REPSOL",0.349902077763849,"Incumbent","2016","4","by-group"
"2017 Q1","EDP",0.0562390390263486,"Incumbent","2017","1","by-group"
"2017 Q1","ENDESA",0.126956316776515,"Incumbent","2017","1","by-group"
"2017 Q1","IBERDROLA",0.112220161552926,"Incumbent","2017","1","by-group"
"2017 Q1","NATURGY",0.104695705269282,"Incumbent","2017","1","by-group"
"2017 Q1","REPSOL",0.369803394133559,"Incumbent","2017","1","by-group"
"2017 Q2","EDP",0.0568150937024265,"Incumbent","2017","2","by-group"
"2017 Q2","ENDESA",0.146270762469644,"Incumbent","2017","2","by-group"
"2017 Q2","IBERDROLA",0.124416928501323,"Incumbent","2017","2","by-group"
"2017 Q2","NATURGY",0.105933394453847,"Incumbent","2017","2","by-group"
"2017 Q2","REPSOL",0.381480567737258,"Incumbent","2017","2","by-group"
"2017 Q3","EDP",0.0577588717994473,"Incumbent","2017","3","by-group"
"2017 Q3","ENDESA",0.190323240200619,"Incumbent","2017","3","by-group"
"2017 Q3","IBERDROLA",0.134971582294895,"Incumbent","2017","3","by-group"
"2017 Q3","NATURGY",0.108138264705744,"Incumbent","2017","3","by-group"
