date,year,quarter,market,consumer_reg,consumer_inc,smartmeter,consumer_commercial,consumer_market,consumer_ENDESA,consumer_EDP,consumer_OTHERS,consumer_NATURGY,consumer_REPSOL,consumer_IBERDROLA,consumer_reg_fdata,registration_distr_reg,switch_reg_inc,switch_reg_others,switch_inc_reg,switch_others_reg,consumer_reg_lag,consumer_inc_lag,consumer_commercial_lag,consumer_market_lag,consumer_ENDESA_lag,consumer_IBERDROLA_lag,consumer_NATURGY_lag,consumer_OTHERS_lag,consumer_REPSOL_lag,consumer_EDP_lag,reg_switch_out,reg_switch_in,lambdas,P,Pi,Po
2018 Q3,2018,3,EDP,185971,380532,0.972666667,457554,643525,9327,380532,14569,22456,6821,23849,214993,546.6860409408679,1157.3827892070904,1095.9671105570878,2043.1525770606486,273.34302047043394,186615,381509,456491,643106,9218,23532,22700,13156,6376,381509,2253.349899764178,2316.4955975310827,0.01714942960822568,0.2959031440336343,0.36164360586679356,0.3424532500995721
2018 Q4,2018,4,EDP,188336,376947,0.979333333,455731,644067,9729,376947,16124,21358,7518,24055,215448,585.687126359957,745.6583862463332,1175.7450521703613,5619.973933385318,533.2375329545877,185971,380532,457554,643525,9327,23849,22456,14569,6821,380532,1921.4034384166944,6153.211466339905,0.023779792113132872,0.5655245081184692,0.16861128051635385,0.26586421136517696
2019 Q1,2019,1,EDP,190397,372722,0.983666667,453288,643685,9665,372722,18101,20535,8219,24046,226183,286.2062135527427,751.7122020664682,1166.7112117179454,7324.3537180071,576.6213420106727,188336,376947,455731,644067,9729,24055,21358,16124,7518,376947,1918.4234137844137,7900.975060017772,0.027523101741365467,0.629904547897956,0.1450176563085236,0.22507779579352047
2019 Q2,2019,2,EDP,189984,370841,0.987333333,454244,644228,9703,370841,20823,19589,9165,24123,226200,390.55066312997343,897.8465782493369,848.2928381962865,2276.952360742706,489.6581432360743,190397,372722,453288,643685,9665,24046,20535,18101,8219,372722,1746.1394164456233,2766.6105039787803,0.015274472429165962,0.3995835312319752,0.3087278523872143,0.2916886163808105
2019 Q3,2019,3,EDP,188909,370021,0.990666667,455548,644457,9627,370021,23084,18586,9973,24257,227287,550.2195814102874,1165.2686603281315,908.4441125097344,1396.3276386242944,519.4671274643952,189984,370841,454244,644228,9703,24123,19589,20823,9165,370841,2073.712772837866,1915.7947660886896,0.01513274248786782,0.27870331930863534,0.4053138061440053,0.3159828745473593
2019 Q4,2019,4,EDP,188713,367990,0.992333333,456198,644911,9477,367990,24867,17898,11162,24804,228932,445.1322663498332,956.2100536403823,1033.6960407457236,1846.4745863400485,689.9550128422413,188909,370021,455548,644457,9627,24257,18586,23084,9973,370021,1989.906094386106,2536.42959918229,0.016101540079618584,0.34579702366531995,0.3143643134002605,0.33983866293441956
2016 Q1,2016,1,ENDESA,5906275,4047610,0.526666667,5640750,11547025,4047610,50804,202247,619951,88211,631927,5998168,10906.313711119796,104076.71849137936,27666.548965450784,17962.52931728488,3021.9823744516657,,,,,,,,,,,131743.26745683013,20984.511691736545,,,,
2016 Q2,2016,2,ENDESA,5791174,4140153,0.58,5764644,11555818,4140153,55713,222499,628594,84913,632772,5882337,11777.600392837065,93721.66050295996,27584.7684867426,20086.799365966282,3095.2750677154336,5906275,4047610,5640750,11547025,4047610,631927,619951,202247,88211,50804,121306.42898970256,23182.074433681715,0.024648318084068876,0.16673552986572043,0.6437822828477877,0.18948218728649185
2016 Q3,2016,3,ENDESA,5692652,4236344,0.63,5878142,11570794,4236344,58491,242298,628386,85961,626662,5778692,10215.599177114822,91038.03108523521,23088.042228933467,17983.197972828453,2709.054748029485,5791174,4140153,5764644,11555818,4140153,632772,628594,222499,84913,55713,114126.07331416868,20692.252720857938,0.023296408597004006,0.15408001315378017,0.6747878711828689,0.17113211566335074
2016 Q4,2016,4,ENDESA,5574765,4297366,0.706666667,5969659,11544424,4297366,61093,266527,638663,90028,615982,5677656,8787.807283498683,86665.45361765489,27008.515636558466,20704.859462249915,3775.320559223736,5692652,4236344,5878142,11570794,4236344,626662,628386,242298,85961,58491,113673.96925421336,24480.18002147365,0.024133155411144504,0.17256806297239083,0.6308371620231311,0.1965947750044782
