CODIGO DIS,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
R1-323,0,0,0.97,0.97,0.97,0.97
R1-325,SIN DATOS,SIN DATOS,SIN DATOS,0.35,0.35,0.35
R1-326,0,0,0,0,0,0
R1-327,0,0,0,0,0,0.38
R1-329,0,0,0,0,0,0
R1-330,0.64,0.64,0.64,0.64,0.64,0.64
R1-335,0,0,0,0,0,0
R1-336,0,0,0,-0.29,-0.29,-0.29
R1-337,SIN DATOS,SIN DATOS,SIN DATOS,0,0,0
R1-338,-0.1,-0.1,-0.17,-0.06,-0.06,-0.06
R1-339,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-340,1,1,1,1,1,1
R1-341,0,0,0,0,0,0
R1-342,-0.3,-0.3,-0.3,0.47,0.45,0.58
R1-343,0,0,0,0,0,0
R1-344,0,0,0,0,0,0
R1-345,0,0,0,0,0,0
R1-346,1,1,1,0.99,0.99,0.99
R1-347,0,0,0,0,0,0
R1-348,0,0,0.96,1,1,1
R1-349,1,1,1,SIN DATOS,SIN DATOS,SIN DATOS
R1-350,0,0,0,0,0,0
R1-351,0,0,0,0,0,0
R1-352,1,1,1,1,1,1
R1-353,0,0,0,0,0,0
R1-354,0,0,0,0,0,0
R1-355,0,0,0,0,0,0
R1-356,SIN DATOS,SIN DATOS,SIN DATOS,0,0,0
R1-357,0,0,0.53,0.54,0.75,0.75
R1-358,1,1,1,0.99,0.99,0.99
R1-359,0.37,0.37,0.38,0.38,0.39,0.39
R1-360,0,0,0,0,0,0
R1-361,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-362,0,0,0,0,0,0
R1-363,0,0,0,0,0,0
CODIGO DIS,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
R1-364,SIN DATOS,SIN DATOS,SIN DATOS,0,0,0
R1-365,0,0,-0.24,-0.25,-0.24,-0.23
