year,month,retailer,retailer_type,tariff,power,energy_consumption,energy_bill,energy_price,power_bill,pretax_bill,total_bill,contract_id
2015,12,COR,regulated,2.0A,4.4,3000,370.059,0.123353,184.9910744,555.0500744000001,705.9479999,9999
2016,1,COR,regulated,2.0DHA,5.5,5000,371.2752,0.07425504,231.238843,602.514043,766.3156951,9999
2016,1,COR,regulated,2.0A,4.4,3000,310.302,0.10343400000000001,184.9910744,495.2930744,629.9452453,9999
2016,2,COR,regulated,2.0DHA,5.5,5000,322.6787,0.06453574,231.238843,553.917543,704.5075744,9999
2016,2,COR,regulated,2.0A,4.4,3000,277.65,0.09255,184.9910744,462.6410744,588.4163542,9999
2016,3,COR,regulated,2.0DHA,5.5,5000,326.62955,0.06532591,231.238843,557.868393,709.5325169,9999
2016,3,COR,regulated,2.0A,4.4,3000,275.148,0.091716,184.9910744,460.1390744,585.2341514,9999
2016,4,COR,regulated,2.0DHA,5.5,5000,301.0977,0.060219539999999995,231.238843,532.336543,677.0594855,9999
2016,4,COR,regulated,2.0A,4.4,3000,260.52,0.08684,184.9910744,445.5110744,566.6293303,9999
2016,5,COR,regulated,2.0DHA,5.5,5000,308.7213,0.061744259999999995,231.238843,539.960143,686.7556651,9999
2016,5,COR,regulated,2.0A,4.4,3000,263.73,0.08791,184.9910744,448.7210744,570.7120125,9999
2016,6,COR,regulated,2.0DHA,5.5,5000,373.8669,0.07477338,231.238843,605.105743,769.6119841,9999
2016,6,COR,regulated,2.0A,4.4,3000,301.365,0.100455,184.9910744,486.3560744,618.5786,9999
2016,7,COR,regulated,2.0DHA,5.5,5000,379.38705,0.07587740999999999,231.238843,610.625893,776.6328621,9999
2016,7,COR,regulated,2.0A,4.4,3000,307.968,0.10265600000000001,184.9910744,492.9590744,626.9767156,9999
2016,8,COR,regulated,2.0DHA,5.5,5000,386.48885,0.07729777,231.238843,617.727693,785.6653832,9999
2016,8,COR,regulated,2.0A,4.4,3000,311.928,0.103976,184.9910744,496.9190744,632.0132955,9999
2016,9,COR,regulated,2.0DHA,5.5,5000,394.9755,0.0789951,231.238843,626.214343,796.4592446,9999
2016,9,COR,regulated,2.0A,4.4,3000,318.363,0.106121,184.9910744,503.3540744,640.197738,9999
2016,10,COR,regulated,2.0DHA,5.5,5000,451.12545,0.09022509,231.238843,682.364293,867.8743236,9999
2016,10,COR,regulated,2.0A,4.4,3000,355.542,0.118514,184.9910744,540.5330744,687.4843557,9999
2016,11,COR,regulated,2.0DHA,5.5,5000,470.586,0.0941172,231.238843,701.824843,892.6254893,9999
2016,11,COR,regulated,2.0A,4.4,3000,368.007,0.122669,184.9910744,552.9980744,703.3381358,9999
2016,12,COR,regulated,2.0DHA,5.5,5000,505.80545,0.10116109,231.238843,737.044293,937.4198266,9999
2016,12,COR,regulated,2.0A,4.4,3000,390.693,0.13023099999999999,184.9910744,575.6840744,732.191634,9999
2017,1,COR,regulated,2.0DHA,5.5,5000,584.3165,0.1168633,226.360343,810.676843,1031.070389,9999
2017,1,COR,regulated,2.0A,4.4,3000,442.221,0.147407,181.0882744,623.3092744,792.7643935,9999
2017,2,COR,regulated,2.0DHA,5.5,5000,466.59395,0.09331879,226.360343,692.954293,881.3433594,9999
2017,2,COR,regulated,2.0A,4.4,3000,366.756,0.12225199999999999,181.0882744,547.8442743999999,696.783205,9999
2017,3,COR,regulated,2.0DHA,5.5,5000,421.1894,0.08423788,226.360343,647.549743,823.5949638,9999
2017,3,COR,regulated,2.0A,4.4,3000,333.615,0.111205,181.0882744,514.7032744,654.6323726,9999
2017,4,COR,regulated,2.0DHA,5.5,5000,424.58065,0.08491612999999999,226.360343,650.9409929999999,827.9081713,9999
2017,4,COR,regulated,2.0A,4.4,3000,333.726,0.111242,181.0882744,514.8142743999999,654.7735495,9999
2017,5,COR,regulated,2.0DHA,5.5,5000,430.92705,0.08618541,226.360343,657.2873930000001,835.9799266,9999
2017,5,COR,regulated,2.0A,4.4,3000,337.626,0.11254199999999999,181.0882744,518.7142744,659.7338176,9999
2017,6,COR,regulated,2.0DHA,5.5,5000,437.05495,0.08741099000000001,226.360343,663.415293,843.7737797,9999
2017,6,COR,regulated,2.0A,4.4,3000,342.921,0.11430699999999999,181.0882744,524.0092744,666.4683355,9999
2017,7,COR,regulated,2.0DHA,5.5,5000,430.1917,0.08603834,226.360343,656.552043,835.0446617,9999
2017,7,COR,regulated,2.0A,4.4,3000,339.132,0.113044,181.0882744,520.2202744,661.6492442,9999
2017,8,COR,regulated,2.0DHA,5.5,5000,429.56865,0.08591373,226.360343,655.928993,834.2522271,9999
2017,8,COR,regulated,2.0A,4.4,3000,339.168,0.113056,181.0882744,520.2562743999999,661.6950313,9999
2017,9,COR,regulated,2.0DHA,5.5,5000,436.04805,0.08720960999999999,226.360343,662.4083929999999,842.4931403,9999
2017,9,COR,regulated,2.0A,4.4,3000,340.833,0.113611,181.0882744,521.9212744,663.8126843,9999
2017,10,COR,regulated,2.0DHA,5.5,5000,483.85365,0.09677073,226.360343,710.2139930000001,903.295344,9999
2017,10,COR,regulated,2.0A,4.4,3000,374.115,0.124705,181.0882744,555.2032744,706.1428494,9999
2017,11,COR,regulated,2.0DHA,5.5,5000,502.1364,0.10042728,226.360343,728.4967429999999,926.5485087,9999
2017,11,COR,regulated,2.0A,4.4,3000,387.771,0.129257,181.0882744,568.8592744,723.5114191,9999
2017,12,COR,regulated,2.0DHA,5.5,5000,497.69835,0.09953967,226.360343,724.058693,920.9039143,9999
2017,12,COR,regulated,2.0A,4.4,3000,389.847,0.12994899999999998,181.0882744,570.9352744,726.151808,9999
2018,1,COR,regulated,2.0DHA,5.5,5000,450.21015,0.09004203,226.360343,676.5704929999999,860.5054001,9999
2018,1,COR,regulated,2.0A,4.4,3000,358.395,0.11946499999999999,181.0882744,539.4832744,686.1491532,9999
2018,2,COR,regulated,2.0DHA,5.5,5000,473.9897,0.09479794000000001,226.360343,700.350043,890.7497448,9999
2018,2,COR,regulated,2.0A,4.4,3000,368.124,0.12270800000000001,181.0882744,549.2122744000001,698.5231145,9999
2018,3,COR,regulated,2.0DHA,5.5,5000,400.4163,0.08008325999999999,226.360343,626.7766429999999,797.1744135,9999
2018,3,COR,regulated,2.0A,4.4,3000,323.916,0.107972,181.0882744,505.0042744,642.2965673,9999
2018,4,COR,regulated,2.0DHA,5.5,5000,412.96165,0.08259233,226.360343,639.321993,813.1303879,9999
2018,4,COR,regulated,2.0A,4.4,3000,327.021,0.109007,181.0882744,508.1092744,646.2457039,9999
2018,5,COR,regulated,2.0DHA,5.5,5000,472.65395,0.09453079,226.360343,699.014293,889.0508529,9999
2018,5,COR,regulated,2.0A,4.4,3000,361.824,0.120608,181.0882744,542.9122744,690.5103736,9999
2018,6,COR,regulated,2.0DHA,5.5,5000,485.6571,0.09713142,226.360343,712.017443,905.5890864,9999
2018,6,COR,regulated,2.0A,4.4,3000,370.668,0.123556,181.0882744,551.7562743999999,701.7587355,9999
2018,7,COR,regulated,2.0DHA,5.5,5000,501.23695,0.10024738999999999,226.360343,727.597293,925.404531,9999
2018,7,COR,regulated,2.0A,4.4,3000,381.519,0.127173,181.0882744,562.6072744,715.5597277,9999
2018,8,COR,regulated,2.0DHA,5.5,5000,520.7612,0.10415224000000001,226.360343,747.121543,950.2367143,9999
