date,market,group,tariff,regulated,consumers,yearly_consumption,power,tou,incumbent,share,share_reg,share_others,year,quarter,retailer_type,contracted_power,energy_price,total_bill,energy_consumption,power_bill,energy_bill,gas_price,variable,retailing_cost,smartmeter,ordered_quarter,energy_price_lag,gas_price_lag,retailing_cost_lag
2016-12-28,ENDESA,EDP,2.0DHA,false,2825,10018435,2.0,1,0,0.00024470688186781773,0.01761993495734391,0.005244696487239207,2016,4,commercial,5.5,8.67158852,664.8188080000001,5000.0,231.239382,433.579426,21.726630434782614,cost_com,64.79191103079087,0.706666666666667,24,14.21362316,15.913043478260867,48.9296041975602
2017-03-28,ENDESA,EDP,2.0DHA,false,3700,13285671,2.0,1,0,0.00032008329778534367,0.01785909085443295,0.006258839597695089,2017,1,commercial,5.5,8.91069632,676.774198,5000.0,231.239382,445.53481600000003,25.128111111111107,cost_com,65.54420001143703,0.763333333333333,25,14.210777020000002,21.726630434782614,64.79191103079087
2017-06-28,ENDESA,EDP,2.0DHA,false,4496,15920512,2.0,1,0,0.0003882211157575031,0.018014116016806452,0.007276296432726315,2017,2,commercial,5.5,8.998850200000001,681.18044,5000.0,231.23793,449.94251,17.81175824175824,cost_com,54.35361248986845,0.806666666666667,26,14.46202142,25.128111111111107,65.54420001143703
2017-09-28,ENDESA,EDP,2.0DHA,false,5421,18771802,2.0,1,0,0.00046746625442943893,0.01833492159182737,0.008302462825395016,2017,3,commercial,5.5,9.51319312,706.897586,5000.0,231.23793,475.659656,16.99130434782608,cost_com,55.41793205276342,0.853333333333333,27,14.612150699999999,17.81175824175824,54.35361248986845
2017-12-28,ENDESA,EDP,2.0DHA,false,8272,26747212,2.0,1,0,0.0007120587476012564,0.018588675804007894,0.010015822475628215,2017,4,commercial,5.5,9.51319312,706.897586,5000.0,231.23793,475.659656,23.71152173913044,cost_com,66.34992796762626,0.89,28,15.269066120000002,16.99130434782608,55.41793205276342
2018-03-28,ENDESA,EDP,2.0DHA,false,12844,38721143,2.0,1,0,0.0011049027953937494,0.019308873150552384,0.012249934449086727,2018,1,commercial,5.5,10.247330520000002,743.604456,5000.0,231.23793,512.366526,22.231777777777776,cost_com,56.58017998501195,0.907,29,15.205552248000002,23.71152173913044,66.34992796762626
2018-06-28,ENDESA,EDP,2.0DHA,false,18209,54835437,2.0,1,0,0.0015646043516090188,0.02072540106680772,0.014633334037916544,2018,2,commercial,5.5,10.247330520000002,743.604456,5000.0,231.23793,512.366526,22.10758241758242,cost_com,59.15560580695156,0.925333333333333,30,15.364444130000003,22.231777777777776,56.58017998501195
2018-09-28,ENDESA,EDP,2.0DHA,false,23680,69189672,2.0,1,0,0.002033400492223746,0.021718572047939134,0.017026466064151553,2018,3,commercial,5.5,11.129972902222223,787.736575111111,5000.0,231.23793,556.4986451111112,26.791847826086954,cost_com,72.09066251905138,0.948666666666667,31,15.364444130000003,22.10758241758242,59.15560580695156
2018-12-28,ENDESA,EDP,2.0DHA,false,31388,88566952,2.0,1,0,0.002697214242061143,0.024057521780168276,0.02005904860897715,2018,4,commercial,5.5,11.786528746666667,820.5643673333334,5000.0,231.23793,589.3264373333333,26.06554347826087,cost_com,68.92695041200786,0.965333333333333,32,16.16770516,26.791847826086954,72.09066251905138
2019-03-28,ENDESA,EDP,2.0DHA,false,39906,111049894,2.0,1,0,0.0034291942622308442,0.025872087427696987,0.024489358893803423,2019,1,commercial,5.5,11.058591306666667,784.1674953333332,5000.0,231.23793,552.9295653333332,21.399111111111118,cost_com,60.97532713086873,0.975,33,16.733369733333333,26.06554347826087,68.92695041200786
